Ano;Grupo CID-10;Faixa Etária;Valor
2016;Transt respirat e cardiovasc específ per perinatal;Menor 1 ano;102
2016;Infecções específicas do período perinatal;Menor 1 ano;56
2016;Transt hemorrág e hematológ feto e recém-nascido;Menor 1 ano;4
2016;Transt endócr e metaból trans espec fet e rec-nasc;Menor 1 ano;1
2016;Transt aparelho digestivo do feto ou recém-nascido;Menor 1 ano;8
2016;Afecç comprom tegument e reg térm fet e recém-nasc;Menor 1 ano;2
2016;Outros transtornos originados no período perinatal;Menor 1 ano;3
2016;Malformações congênitas do sistema nervoso;Menor 1 ano;28
2016;Malformações congênitas do aparelho circulatório;Menor 1 ano;34
2016;Malformações congênitas do aparelho respiratório;Menor 1 ano;10
2016;Outras malformações congênitas aparelho digestivo;Menor 1 ano;4
2016;Malformações congênitas do aparelho urinário;Menor 1 ano;4
2016;Malform e deform congênit do sistema osteomuscular;Menor 1 ano;8
2016;Outras malformações congênitas;Menor 1 ano;11
2016;Anomalias cromossômicas NCOP;Menor 1 ano;7
2016;Sint e sinais relat aparelho circulat e respirat;Menor 1 ano;-
2016;Sintom e sinais relat ao aparelho digest e abdome;Menor 1 ano;-
2016;Sintom e sinais relat à pele e tecido subcutâneo;Menor 1 ano;-
2016;Sint e sinais relat sist nervoso e osteomuscular;Menor 1 ano;-
2016;Sint e sinais rel cogn percep estado emoc e compor;Menor 1 ano;-
2016;Sintomas e sinais gerais;Menor 1 ano;-
2016;Achad anorm exam e out líq, subs e tec corp s/diag;Menor 1 ano;-
2016;Causas mal definidas e desconhecidas mortalidade;Menor 1 ano;4
2016;Acidentes;Menor 1 ano;2
2016;Lesões autoprovocadas intencionalmente;Menor 1 ano;-
2016;Agressões;Menor 1 ano;-
2016;Eventos (fatos) cuja intenção é indeterminada;Menor 1 ano;3
2016;Complicações de assistência médica e cirúrgica;Menor 1 ano;1
2016;Seqüelas causas externas de morbidade e mortalidad;Menor 1 ano;-
2017;Doenças infecciosas intestinais;Menor 1 ano;8
2017;Tuberculose;Menor 1 ano;-
2017;Algumas doenças bacterianas zoonóticas;Menor 1 ano;-
2017;Outras doenças bacterianas;Menor 1 ano;5
2017;Infecções de transmissão predominantemente sexual;Menor 1 ano;4
2017;Infecções virais do sistema nervoso central;Menor 1 ano;-
2017;Febres por arbovírus e febres hemorrágicas virais;Menor 1 ano;3
2017;Infecções virais caract p/lesões de pele e mucosas;Menor 1 ano;-
2017;Hepatite viral;Menor 1 ano;-
2017;Doença pelo vírus da imunodeficiência humana [HIV];Menor 1 ano;-
2017;Outras doenças por vírus;Menor 1 ano;-
2017;Micoses;Menor 1 ano;-
2017;Doenças devidas a protozoários;Menor 1 ano;-
2017;Helmintíases;Menor 1 ano;-
2017;Pediculose, acaríase e outras infestações;Menor 1 ano;-
2017;Seqüelas de doenças infecciosas e parasitárias;Menor 1 ano;-
2017;Outras doenças infecciosas;Menor 1 ano;-
2017;Neoplasias malignas;Menor 1 ano;3
2017;Neoplasias [tumores] in situ;Menor 1 ano;-
2017;Neoplasias [tumores] benignas(os);Menor 1 ano;-
2017;Neopl de comportamento incerto ou desconhecido;Menor 1 ano;-
2017;Anemias nutricionais;Menor 1 ano;-
2017;Anemias hemolíticas;Menor 1 ano;-
2017;Anemias aplásticas e outras anemias;Menor 1 ano;1
2017;Defeitos coagulação, púrpura, outr afecç hemorrág;Menor 1 ano;1
2017;Outras doenças do sangue e órgãos hematopoéticos;Menor 1 ano;-
2017;Alguns transt q comprometem o mecanismo imunitário;Menor 1 ano;1
2017;Transtornos da glândula tireóide;Menor 1 ano;-
2017;Diabetes mellitus;Menor 1 ano;-
2017;Outr transt regulação glicose e secr pancreát int;Menor 1 ano;-
2017;Transtornos de outras glândulas endócrinas;Menor 1 ano;-
2017;Desnutrição;Menor 1 ano;3
2017;Outras deficiências nutricionais;Menor 1 ano;-
2017;Obesidade e outras formas de hiperalimentação;Menor 1 ano;-
2017;Distúrbios metabólicos;Menor 1 ano;1
2017;Transtornos mentais orgânicos, incl sintomáticos;Menor 1 ano;-
2017;Transt ment e comport dev ao uso subst psicoativa;Menor 1 ano;-
2017;Esquizofrenia, transt esquizotípicos e delirantes;Menor 1 ano;-
2017;Transtornos do humor [afetivos];Menor 1 ano;-
2017;Transt neuróticos, relacion stress e somatoformes;Menor 1 ano;-
2017;Retardo mental;Menor 1 ano;-
2017;Doenças inflamatórias do sistema nervoso central;Menor 1 ano;2
2017;Atrofias sistêm q afetam princ o sist nerv central;Menor 1 ano;1
2017;Doenças extrapiramidais e transt dos movimentos;Menor 1 ano;-
2017;Outras doenças degenerativas do sistema nervoso;Menor 1 ano;-
2017;Doenças desmielinizantes do sist nervoso central;Menor 1 ano;-
2017;Transtornos episódicos e paroxísticos;Menor 1 ano;-
2017;Polineuropatias e outr transt sist nerv periférico;Menor 1 ano;-
2017;Doenças da junção mioneural e dos músculos;Menor 1 ano;3
2017;Paralisia cerebral e outras síndromes paralíticas;Menor 1 ano;-
2017;Outros transtornos do sistema nervoso;Menor 1 ano;5
2017;Doenças do ouvido médio e da mastóide;Menor 1 ano;-
2017;Febre reumática aguda;Menor 1 ano;-
2017;Doenças reumáticas crônicas do coração;Menor 1 ano;-
2017;Doenças hipertensivas;Menor 1 ano;-
2017;Doenças isquêmicas do coração;Menor 1 ano;-
2017;Doenças cardíaca pulmonar e da circulação pulmonar;Menor 1 ano;-
2017;Outras formas de doença do coração;Menor 1 ano;1
2017;Doenças cerebrovasculares;Menor 1 ano;2
2017;Doenças das artérias, das arteríolas e capilares;Menor 1 ano;1
2017;Doenças veias, vasos e gânglios linfáticos, NCOP;Menor 1 ano;-
2017;Infecções agudas das vias aéreas superiores;Menor 1 ano;-
2017;Influenza [gripe] e pneumonia;Menor 1 ano;15
2017;Outras infecções agudas das vias aéreas inferiores;Menor 1 ano;2
2017;Outras doenças das vias aéreas superiores;Menor 1 ano;1
2017;Doenças crônicas das vias aéreas inferiores;Menor 1 ano;-
2017;Doenças pulmonares devidas a agentes externos;Menor 1 ano;-
2017;Outras doenças respirat q afetam princ interstício;Menor 1 ano;-
2017;Afecções necróticas e supurat vias aéreas infer;Menor 1 ano;-
2017;Outras doenças da pleura;Menor 1 ano;-
2017;Outras doenças do aparelho respiratório;Menor 1 ano;3
2017;Doenças do esôfago, do estômago e do duodeno;Menor 1 ano;1
2017;Doenças do apêndice;Menor 1 ano;-
2017;Hérnias;Menor 1 ano;-
2017;Enterites e colites não-infecciosas;Menor 1 ano;-
2017;Outras doenças dos intestinos;Menor 1 ano;-
2017;Doenças do peritônio;Menor 1 ano;-
2017;Doenças do fígado;Menor 1 ano;-
2017;Transt vesícula biliar, vias biliares e pâncreas;Menor 1 ano;-
2017;Outras doenças do aparelho digestivo;Menor 1 ano;-
2017;Infecções da pele e do tecido subcutâneo;Menor 1 ano;-
2017;Afecções bolhosas;Menor 1 ano;-
2017;Dermatite e eczema;Menor 1 ano;-
2017;Afecções pápulo-descamativas;Menor 1 ano;-
2017;Urticária e eritema;Menor 1 ano;-
2017;Outras afecções da pele e do tecido subcutâneo;Menor 1 ano;-
2017;Artropatias;Menor 1 ano;-
2017;Doenças sistêmicas do tecido conjuntivo;Menor 1 ano;-
2017;Dorsopatias;Menor 1 ano;-
2017;Transtornos dos tecidos moles;Menor 1 ano;-
2017;Osteopatias e condropatias;Menor 1 ano;-
2017;Doenças glomerulares;Menor 1 ano;-
2017;Doenças renais túbulo-intersticiais;Menor 1 ano;1
2017;Insuficiência renal;Menor 1 ano;1
2017;Calculose renal;Menor 1 ano;-
2017;Outros transtornos do rim e do ureter;Menor 1 ano;1
2017;Outras doenças do aparelho urinário;Menor 1 ano;-
2017;Doenças dos órgãos genitais masculinos;Menor 1 ano;-
2017;Doenças inflamatórias órgãos pélvicos femininos;Menor 1 ano;-
2017;Transt não-inflamatórios do trato genital feminino;Menor 1 ano;-
2017;Edema proteinúr e transt hipert gravid parto puerp;Menor 1 ano;-
2017;Outros transtornos maternos relac predom gravidez;Menor 1 ano;-
2017;Assist à mãe mot feto cavid amniót e prob rel part;Menor 1 ano;-
2017;Complicações do trabalho de parto e do parto;Menor 1 ano;-
2017;Complicações relacionadas predom com o puerpério;Menor 1 ano;-
2017;Outras afecções obstétricas NCOP;Menor 1 ano;-
2017;Fet rec-nasc afet fat mat e compl grav, trab parto;Menor 1 ano;69
2017;Transt relac com a duração gestação e cresc fetal;Menor 1 ano;47
2017;Traumatismo de parto;Menor 1 ano;4
2017;Transt respirat e cardiovasc específ per perinatal;Menor 1 ano;86
2017;Infecções específicas do período perinatal;Menor 1 ano;69
2017;Transt hemorrág e hematológ feto e recém-nascido;Menor 1 ano;9
2017;Transt aparelho digestivo do feto ou recém-nascido;Menor 1 ano;12
2017;Afecç comprom tegument e reg térm fet e recém-nasc;Menor 1 ano;2
2017;Outros transtornos originados no período perinatal;Menor 1 ano;6
2017;Malformações congênitas do sistema nervoso;Menor 1 ano;16
2017;Malformações congênitas do aparelho circulatório;Menor 1 ano;28
2017;Malformações congênitas do aparelho respiratório;Menor 1 ano;8
2017;Outras malformações congênitas aparelho digestivo;Menor 1 ano;9
2017;Malformações congênitas do aparelho urinário;Menor 1 ano;9
2017;Malform e deform congênit do sistema osteomuscular;Menor 1 ano;13
2017;Outras malformações congênitas;Menor 1 ano;16
2017;Anomalias cromossômicas NCOP;Menor 1 ano;11
2017;Sint e sinais relat aparelho circulat e respirat;Menor 1 ano;-
2017;Sintom e sinais relat ao aparelho digest e abdome;Menor 1 ano;-
2017;Sint e sinais relat sist nervoso e osteomuscular;Menor 1 ano;-
2017;Sint e sinais rel cogn percep estado emoc e compor;Menor 1 ano;-
2017;Sintomas e sinais relativos à fala e à voz;Menor 1 ano;-
2017;Sintomas e sinais gerais;Menor 1 ano;-
2017;Achad anorm exam diag imagem estud função, s/diag;Menor 1 ano;-
2017;Causas mal definidas e desconhecidas mortalidade;Menor 1 ano;6
2017;Acidentes;Menor 1 ano;4
2017;Lesões autoprovocadas intencionalmente;Menor 1 ano;-
2017;Agressões;Menor 1 ano;1
2017;Eventos (fatos) cuja intenção é indeterminada;Menor 1 ano;2
2017;Complicações de assistência médica e cirúrgica;Menor 1 ano;-
2017;Seqüelas causas externas de morbidade e mortalidad;Menor 1 ano;-
2018;Doenças infecciosas intestinais;Menor 1 ano;4
2018;Tuberculose;Menor 1 ano;-
2018;Algumas doenças bacterianas zoonóticas;Menor 1 ano;-
2018;Outras doenças bacterianas;Menor 1 ano;3
2018;Infecções de transmissão predominantemente sexual;Menor 1 ano;3
2018;Outras doenças causadas por clamídias;Menor 1 ano;-
2018;Infecções virais do sistema nervoso central;Menor 1 ano;-
2018;Febres por arbovírus e febres hemorrágicas virais;Menor 1 ano;-
2018;Infecções virais caract p/lesões de pele e mucosas;Menor 1 ano;-
2018;Hepatite viral;Menor 1 ano;-
2018;Doença pelo vírus da imunodeficiência humana [HIV];Menor 1 ano;2
2018;Outras doenças por vírus;Menor 1 ano;-
2018;Micoses;Menor 1 ano;-
2018;Doenças devidas a protozoários;Menor 1 ano;-
2018;Helmintíases;Menor 1 ano;-
2018;Seqüelas de doenças infecciosas e parasitárias;Menor 1 ano;-
2018;Outras doenças infecciosas;Menor 1 ano;-
2018;Neoplasias malignas;Menor 1 ano;1
2018;Neoplasias [tumores] in situ;Menor 1 ano;-
2018;Neoplasias [tumores] benignas(os);Menor 1 ano;-
2018;Neopl de comportamento incerto ou desconhecido;Menor 1 ano;-
2018;Anemias nutricionais;Menor 1 ano;-
2018;Anemias hemolíticas;Menor 1 ano;-
2018;Anemias aplásticas e outras anemias;Menor 1 ano;-
2018;Defeitos coagulação, púrpura, outr afecç hemorrág;Menor 1 ano;1
2018;Outras doenças do sangue e órgãos hematopoéticos;Menor 1 ano;-
2018;Alguns transt q comprometem o mecanismo imunitário;Menor 1 ano;-
2018;Transtornos da glândula tireóide;Menor 1 ano;1
2018;Diabetes mellitus;Menor 1 ano;-
2018;Transtornos de outras glândulas endócrinas;Menor 1 ano;-
2018;Desnutrição;Menor 1 ano;-
2018;Outras deficiências nutricionais;Menor 1 ano;-
2018;Obesidade e outras formas de hiperalimentação;Menor 1 ano;-
2018;Distúrbios metabólicos;Menor 1 ano;1
2018;Transtornos mentais orgânicos, incl sintomáticos;Menor 1 ano;-
2018;Transt ment e comport dev ao uso subst psicoativa;Menor 1 ano;-
2018;Esquizofrenia, transt esquizotípicos e delirantes;Menor 1 ano;-
2018;Transtornos do humor [afetivos];Menor 1 ano;-
2018;Retardo mental;Menor 1 ano;-
2018;Transtornos do desenvolvimento psicológico;Menor 1 ano;-
2018;Doenças inflamatórias do sistema nervoso central;Menor 1 ano;1
2018;Atrofias sistêm q afetam princ o sist nerv central;Menor 1 ano;-
2018;Doenças extrapiramidais e transt dos movimentos;Menor 1 ano;-
2018;Outras doenças degenerativas do sistema nervoso;Menor 1 ano;-
2018;Doenças desmielinizantes do sist nervoso central;Menor 1 ano;-
2018;Transtornos episódicos e paroxísticos;Menor 1 ano;-
2018;Doenças da junção mioneural e dos músculos;Menor 1 ano;-
2018;Paralisia cerebral e outras síndromes paralíticas;Menor 1 ano;-
2018;Outros transtornos do sistema nervoso;Menor 1 ano;6
2018;Doenças do ouvido externo;Menor 1 ano;-
2018;Doenças do ouvido médio e da mastóide;Menor 1 ano;-
2018;Febre reumática aguda;Menor 1 ano;-
2018;Doenças reumáticas crônicas do coração;Menor 1 ano;-
2018;Doenças hipertensivas;Menor 1 ano;-
2018;Doenças isquêmicas do coração;Menor 1 ano;-
2018;Doenças cardíaca pulmonar e da circulação pulmonar;Menor 1 ano;-
2018;Outras formas de doença do coração;Menor 1 ano;2
2018;Doenças cerebrovasculares;Menor 1 ano;1
2018;Doenças das artérias, das arteríolas e capilares;Menor 1 ano;-
2018;Doenças veias, vasos e gânglios linfáticos, NCOP;Menor 1 ano;-
2018;Outros transt e os não espec aparelho circulatório;Menor 1 ano;-
2018;Infecções agudas das vias aéreas superiores;Menor 1 ano;-
2018;Influenza [gripe] e pneumonia;Menor 1 ano;11
2018;Outras infecções agudas das vias aéreas inferiores;Menor 1 ano;-
2018;Outras doenças das vias aéreas superiores;Menor 1 ano;-
2018;Doenças crônicas das vias aéreas inferiores;Menor 1 ano;-
2018;Doenças pulmonares devidas a agentes externos;Menor 1 ano;-
2018;Outras doenças respirat q afetam princ interstício;Menor 1 ano;2
2018;Afecções necróticas e supurat vias aéreas infer;Menor 1 ano;-
2018;Outras doenças da pleura;Menor 1 ano;1
2018;Outras doenças do aparelho respiratório;Menor 1 ano;1
2018;Doenças cavidade oral, glând salivares e maxilares;Menor 1 ano;-
2018;Doenças do esôfago, do estômago e do duodeno;Menor 1 ano;-
2018;Doenças do apêndice;Menor 1 ano;-
2018;Hérnias;Menor 1 ano;1
2018;Enterites e colites não-infecciosas;Menor 1 ano;-
2018;Outras doenças dos intestinos;Menor 1 ano;-
2018;Doenças do peritônio;Menor 1 ano;1
2018;Doenças do fígado;Menor 1 ano;-
2018;Transt vesícula biliar, vias biliares e pâncreas;Menor 1 ano;-
2018;Outras doenças do aparelho digestivo;Menor 1 ano;-
2018;Infecções da pele e do tecido subcutâneo;Menor 1 ano;-
2018;Afecções bolhosas;Menor 1 ano;-
2018;Dermatite e eczema;Menor 1 ano;-
2018;Urticária e eritema;Menor 1 ano;-
2018;Outras afecções da pele e do tecido subcutâneo;Menor 1 ano;-
2018;Artropatias;Menor 1 ano;-
2018;Doenças sistêmicas do tecido conjuntivo;Menor 1 ano;-
2018;Dorsopatias;Menor 1 ano;-
2018;Transtornos dos tecidos moles;Menor 1 ano;-
2018;Osteopatias e condropatias;Menor 1 ano;-
2018;Doenças glomerulares;Menor 1 ano;-
2018;Doenças renais túbulo-intersticiais;Menor 1 ano;-
2018;Insuficiência renal;Menor 1 ano;1
2018;Calculose renal;Menor 1 ano;-
2018;Outros transtornos do rim e do ureter;Menor 1 ano;-
2018;Outras doenças do aparelho urinário;Menor 1 ano;-
2018;Doenças dos órgãos genitais masculinos;Menor 1 ano;-
2018;Doenças inflamatórias órgãos pélvicos femininos;Menor 1 ano;-
2018;Transt não-inflamatórios do trato genital feminino;Menor 1 ano;-
2018;Edema proteinúr e transt hipert gravid parto puerp;Menor 1 ano;-
2018;Assist à mãe mot feto cavid amniót e prob rel part;Menor 1 ano;-
2018;Complicações relacionadas predom com o puerpério;Menor 1 ano;-
2018;Outras afecções obstétricas NCOP;Menor 1 ano;-
2018;Fet rec-nasc afet fat mat e compl grav, trab parto;Menor 1 ano;41
2018;Transt relac com a duração gestação e cresc fetal;Menor 1 ano;37
2018;Transt respirat e cardiovasc específ per perinatal;Menor 1 ano;88
2018;Infecções específicas do período perinatal;Menor 1 ano;49
2018;Transt hemorrág e hematológ feto e recém-nascido;Menor 1 ano;2
2018;Transt aparelho digestivo do feto ou recém-nascido;Menor 1 ano;5
2018;Afecç comprom tegument e reg térm fet e recém-nasc;Menor 1 ano;3
2018;Outros transtornos originados no período perinatal;Menor 1 ano;2
2018;Malformações congênitas do sistema nervoso;Menor 1 ano;18
2018;Malformações congênitas do aparelho circulatório;Menor 1 ano;52
2018;Malformações congênitas do aparelho respiratório;Menor 1 ano;11
2018;Outras malformações congênitas aparelho digestivo;Menor 1 ano;2
2018;Malformações congênitas do aparelho urinário;Menor 1 ano;6
2018;Malform e deform congênit do sistema osteomuscular;Menor 1 ano;8
2018;Outras malformações congênitas;Menor 1 ano;12
2018;Anomalias cromossômicas NCOP;Menor 1 ano;12
2018;Sint e sinais relat aparelho circulat e respirat;Menor 1 ano;-
2018;Sintom e sinais relat ao aparelho digest e abdome;Menor 1 ano;1
2018;Sintom e sinais relat à pele e tecido subcutâneo;Menor 1 ano;-
2018;Sint e sinais relat sist nervoso e osteomuscular;Menor 1 ano;-
2018;Sintomas e sinais gerais;Menor 1 ano;1
2018;Causas mal definidas e desconhecidas mortalidade;Menor 1 ano;7
2018;Acidentes;Menor 1 ano;8
2018;Lesões autoprovocadas intencionalmente;Menor 1 ano;-
2018;Agressões;Menor 1 ano;-
2018;Eventos (fatos) cuja intenção é indeterminada;Menor 1 ano;1
2018;Complicações de assistência médica e cirúrgica;Menor 1 ano;-
2018;Seqüelas causas externas de morbidade e mortalidad;Menor 1 ano;-
2019;Doenças infecciosas intestinais;Menor 1 ano;6
2019;Tuberculose;Menor 1 ano;-
2019;Algumas doenças bacterianas zoonóticas;Menor 1 ano;-
2019;Outras doenças bacterianas;Menor 1 ano;5
2019;Infecções de transmissão predominantemente sexual;Menor 1 ano;1
2019;Infecções virais do sistema nervoso central;Menor 1 ano;-
2019;Febres por arbovírus e febres hemorrágicas virais;Menor 1 ano;-
2019;Infecções virais caract p/lesões de pele e mucosas;Menor 1 ano;-
2019;Hepatite viral;Menor 1 ano;-
2019;Doença pelo vírus da imunodeficiência humana [HIV];Menor 1 ano;-
2019;Outras doenças por vírus;Menor 1 ano;-
2019;Micoses;Menor 1 ano;-
2019;Doenças devidas a protozoários;Menor 1 ano;-
2019;Helmintíases;Menor 1 ano;-
2019;Seqüelas de doenças infecciosas e parasitárias;Menor 1 ano;-
2019;Neoplasias malignas;Menor 1 ano;-
2019;Neoplasias [tumores] in situ;Menor 1 ano;-
2019;Neoplasias [tumores] benignas(os);Menor 1 ano;-
2019;Neopl de comportamento incerto ou desconhecido;Menor 1 ano;-
2019;Anemias nutricionais;Menor 1 ano;-
2019;Anemias hemolíticas;Menor 1 ano;1
2019;Anemias aplásticas e outras anemias;Menor 1 ano;-
2019;Defeitos coagulação, púrpura, outr afecç hemorrág;Menor 1 ano;1
2019;Outras doenças do sangue e órgãos hematopoéticos;Menor 1 ano;-
2019;Alguns transt q comprometem o mecanismo imunitário;Menor 1 ano;2
2019;Transtornos da glândula tireóide;Menor 1 ano;-
2019;Diabetes mellitus;Menor 1 ano;-
2019;Outr transt regulação glicose e secr pancreát int;Menor 1 ano;-
2019;Transtornos de outras glândulas endócrinas;Menor 1 ano;1
2019;Desnutrição;Menor 1 ano;1
2019;Obesidade e outras formas de hiperalimentação;Menor 1 ano;-
2019;Distúrbios metabólicos;Menor 1 ano;1
2019;Transtornos mentais orgânicos, incl sintomáticos;Menor 1 ano;-
2019;Transt ment e comport dev ao uso subst psicoativa;Menor 1 ano;-
2019;Esquizofrenia, transt esquizotípicos e delirantes;Menor 1 ano;-
2019;Transtornos do humor [afetivos];Menor 1 ano;-
2019;Retardo mental;Menor 1 ano;-
2019;Transtorno mental não especificado;Menor 1 ano;-
2019;Doenças inflamatórias do sistema nervoso central;Menor 1 ano;1
2019;Atrofias sistêm q afetam princ o sist nerv central;Menor 1 ano;-
2019;Doenças extrapiramidais e transt dos movimentos;Menor 1 ano;-
2019;Outras doenças degenerativas do sistema nervoso;Menor 1 ano;-
2019;Doenças desmielinizantes do sist nervoso central;Menor 1 ano;-
2019;Transtornos episódicos e paroxísticos;Menor 1 ano;1
2019;Polineuropatias e outr transt sist nerv periférico;Menor 1 ano;-
2019;Doenças da junção mioneural e dos músculos;Menor 1 ano;-
2019;Paralisia cerebral e outras síndromes paralíticas;Menor 1 ano;-
2019;Outros transtornos do sistema nervoso;Menor 1 ano;2
